"Assembly","Session","Date","Word","PDF"
"17th Assembly"," 5th Session","2015-2-26","https://www.ntassembly.ca/sites/assembly/files/hn150226.docx","https://www.ntassembly.ca/sites/assembly/files/hn150226.pdf"
"17th Assembly"," 4th Session","2013-11-1","https://www.ntassembly.ca/sites/assembly/files/hn131101.docx","https://www.ntassembly.ca/sites/assembly/files/hn131101.pdf"
"17th Assembly"," 4th Session","2013-10-31","https://www.ntassembly.ca/sites/assembly/files/hn131031.docx","https://www.ntassembly.ca/sites/assembly/files/hn131031.pdf"
"17th Assembly"," 4th Session","2013-10-30","https://www.ntassembly.ca/sites/assembly/files/hn131030.docx","https://www.ntassembly.ca/sites/assembly/files/hn131030.pdf"
"17th Assembly"," 4th Session","2013-10-29","https://www.ntassembly.ca/sites/assembly/files/hn131029.docx","https://www.ntassembly.ca/sites/assembly/files/hn131029.pdf"
"17th Assembly"," 4th Session","2013-10-28","https://www.ntassembly.ca/sites/assembly/files/hn131028_0_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn131028.pdf"
"17th Assembly"," 4th Session","2013-10-24","https://www.ntassembly.ca/sites/assembly/files/hn131024_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn131024.pdf"
"17th Assembly"," 4th Session","2013-10-23","https://www.ntassembly.ca/sites/assembly/files/hn131023_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn131023.pdf"
"17th Assembly"," 4th Session","2013-10-22","https://www.ntassembly.ca/sites/assembly/files/hn131022_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn131022.pdf"
"17th Assembly"," 4th Session","2013-10-21","https://www.ntassembly.ca/sites/assembly/files/hn131021_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn131021.pdf"
"17th Assembly"," 4th Session","2013-10-18","https://www.ntassembly.ca/sites/assembly/files/hn131018.docx","https://www.ntassembly.ca/sites/assembly/files/hn131018.pdf"
