"Date_Long","Date_Short","MHT","PDF"
"April 9, 2019","2019-04-09","https://yukonassembly.ca/sites/default/files/hansard/34-2-139.mht","https://yukonassembly.ca/sites/default/files/hansard/34-2-139.pdf"
"April 8, 2019","2019-04-08","https://yukonassembly.ca/sites/default/files/hansard/34-2-138.mht","https://yukonassembly.ca/sites/default/files/hansard/34-2-138.pdf"
"April 4, 2019","2019-04-04","https://yukonassembly.ca/sites/default/files/hansard/34-2-137.mht","https://yukonassembly.ca/sites/default/files/hansard/34-2-137.pdf"
"April 3, 2019","2019-04-03","https://yukonassembly.ca/sites/default/files/hansard/34-2-136.mht","https://yukonassembly.ca/sites/default/files/hansard/34-2-136.pdf"
"April 2, 2019","2019-04-02","https://yukonassembly.ca/sites/default/files/hansard/34-2-135.mht","https://yukonassembly.ca/sites/default/files/hansard/34-2-135.pdf"
"April 1, 2019","2019-04-01","https://yukonassembly.ca/sites/default/files/hansard/34-2-134.mht","https://yukonassembly.ca/sites/default/files/hansard/34-2-134.pdf"
"March 28, 2019","2019-03-28","https://yukonassembly.ca/sites/default/files/hansard/34-2-133.mht","https://yukonassembly.ca/sites/default/files/hansard/34-2-133.pdf"
"March 27, 2019","2019-03-27","https://yukonassembly.ca/sites/default/files/hansard/34-2-132.mht","https://yukonassembly.ca/sites/default/files/hansard/34-2-132.pdf"
"March 26, 2019","2019-03-26","https://yukonassembly.ca/sites/default/files/hansard/34-2-131.mht","https://yukonassembly.ca/sites/default/files/hansard/34-2-131.pdf"
"March 25, 2019","2019-03-25","https://yukonassembly.ca/sites/default/files/hansard/34-2-130.mht","https://yukonassembly.ca/sites/default/files/hansard/34-2-130.pdf"
"March 21, 2019","2019-03-21","https://yukonassembly.ca/sites/default/files/hansard/34-2-129.mht","https://yukonassembly.ca/sites/default/files/hansard/34-2-129.pdf"
"March 20, 2019","2019-03-20","https://yukonassembly.ca/sites/default/files/hansard/34-2-128.mht","https://yukonassembly.ca/sites/default/files/hansard/34-2-128.pdf"
"March 19, 2019","2019-03-19","https://yukonassembly.ca/sites/default/files/hansard/34-2-127.mht","https://yukonassembly.ca/sites/default/files/hansard/34-2-127.pdf"
"March 18, 2019","2019-03-18","https://yukonassembly.ca/sites/default/files/hansard/34-2-126.mht","https://yukonassembly.ca/sites/default/files/hansard/34-2-126.pdf"
"March 14, 2019","2019-03-14","https://yukonassembly.ca/sites/default/files/hansard/34-2-125.mht","https://yukonassembly.ca/sites/default/files/hansard/34-2-125.pdf"
"March 13, 2019","2019-03-13","https://yukonassembly.ca/sites/default/files/hansard/34-2-124.mht","https://yukonassembly.ca/sites/default/files/hansard/34-2-124.pdf"
"March 12, 2019","2019-03-12","https://yukonassembly.ca/sites/default/files/hansard/34-2-123.mht","https://yukonassembly.ca/sites/default/files/hansard/34-2-123.pdf"
"March 11, 2019","2019-03-11","https://yukonassembly.ca/sites/default/files/hansard/34-2-122.mht","https://yukonassembly.ca/sites/default/files/hansard/34-2-122.pdf"
"March 7, 2019","2019-03-07","https://yukonassembly.ca/sites/default/files/hansard/34-2-121.mht","https://yukonassembly.ca/sites/default/files/hansard/34-2-121.pdf"
"November 22, 2018","2018-11-22","https://yukonassembly.ca/sites/default/files/hansard/34-2-120.mht","https://yukonassembly.ca/sites/default/files/hansard/34-2-120.pdf"
"November 21, 2018","2018-11-21","https://yukonassembly.ca/sites/default/files/hansard/34-2-119.mht","https://yukonassembly.ca/sites/default/files/hansard/34-2-119.pdf"
"November 20, 2018","2018-11-20","https://yukonassembly.ca/sites/default/files/hansard/34-2-118.mht","https://yukonassembly.ca/sites/default/files/hansard/34-2-118.pdf"
"November 19, 2018","2018-11-19","https://yukonassembly.ca/sites/default/files/hansard/34-2-117.mht","https://yukonassembly.ca/sites/default/files/hansard/34-2-117.pdf"
